bus_id,time,ridership_count
6553,800,0
4855,800,6
18020,800,2
20285,800,0
6555,800,0
13213,800,4
17626,800,3
15188,800,2
13215,800,3
19412,800,1
20281,800,9
19050,800,3
18018,800,0
4857,800,6
18620,800,1
19051,800,30
9418,800,1
13209,800,4
20283,800,1
7151,800,0
4864,800,2
18014,800,1
15189,800,3
15187,800,6
4872,805,0
18623,805,5
4867,805,13
15187,805,7
20281,805,10
18620,805,0
13208,805,3
7149,805,3
4851,805,12
18021,805,13
4855,805,11
15189,805,4
20285,805,1
13209,805,4
9418,805,0
20283,805,1
19050,805,0
13215,805,1
17626,805,3
20284,805,1
19051,805,30
7151,805,0
18014,805,1
18018,805,0
4857,805,3
4864,805,2
6557,805,0
13216,805,3
17625,805,0
6556,805,1
15188,805,1
13213,805,7
6553,805,0
4885,805,4
18020,805,3
6555,805,0
19412,805,1
13211,805,7
4856,805,13
18018,810,0
20285,810,2
7151,810,2
6556,810,1
19051,810,30
6557,810,0
18620,810,0
18014,810,1
6553,810,0
13216,810,1
13209,810,4
20281,810,10
15188,810,0
4857,810,4
19412,810,4
20284,810,1
13211,810,7
9418,810,0
15189,810,3
18020,810,6
19050,810,2
13208,810,6
4855,810,15
20283,810,2
4856,810,13
4885,810,6
18623,810,7
6555,810,0
17625,810,2
18021,810,13
7149,810,3
13213,810,11
4851,810,9
17626,810,1
4864,810,3
4867,810,13
15187,810,7
4872,810,3
13215,810,4
13213,815,14
19051,815,30
6556,815,1
18620,815,0
4855,815,12
18018,815,0
4856,815,13
20283,815,2
6553,815,0
20285,815,0
18014,815,0
17626,815,2
17625,815,2
4864,815,6
20281,815,8
15188,815,3
19050,815,0
13216,815,4
7149,815,4
13215,815,4
13211,815,5
9418,815,1
18623,815,7
4851,815,5
13208,815,4
4872,815,6
6555,815,0
4857,815,3
20284,815,2
19412,815,7
15187,815,6
4885,815,6
18020,815,8
18021,815,15
7151,815,0
4867,815,15
13209,815,4
6557,815,0
15189,815,3
18020,820,6
4885,820,5
7151,820,3
20285,820,0
18018,820,0
4851,820,5
13215,820,6
15188,820,10
17625,820,8
15187,820,6
6555,820,1
4864,820,8
4867,820,15
18021,820,20
13213,820,7
19051,820,28
6557,820,0
9418,820,1
19050,820,1
4857,820,4
15189,820,4
4872,820,6
4855,820,5
6553,820,0
20283,820,12
20284,820,3
19412,820,4
18014,820,0
18623,820,6
13208,820,7
13211,820,7
17626,820,0
13216,820,4
6556,820,0
4856,820,14
13209,820,4
20281,820,10
7149,820,9
18620,820,0
4872,825,7
18021,825,29
20283,825,17
4855,825,9
17626,825,6
4856,825,19
13208,825,7
4885,825,11
6555,825,2
17625,825,11
13211,825,11
18623,825,15
4851,825,4
6556,825,0
18620,825,3
15189,825,7
6553,825,0
18014,825,1
19412,825,3
4857,825,4
13216,825,10
9418,825,1
20285,825,0
13209,825,2
20281,825,10
20284,825,3
7151,825,10
18020,825,6
18018,825,0
19051,825,30
13215,825,9
6557,825,0
15188,825,7
15187,825,6
13213,825,17
4864,825,5
4867,825,20
19050,825,0
7149,825,12
18623,830,16
4855,830,9
4885,830,10
18021,830,30
6557,830,0
15187,830,6
18020,830,17
9418,830,3
19412,830,5
7149,830,10
18620,830,3
13216,830,5
19051,830,30
13215,830,8
15188,830,3
13213,830,22
4856,830,19
4872,830,7
15189,830,1
18014,830,1
13211,830,12
20283,830,17
6556,830,0
4864,830,5
6553,830,8
7151,830,10
17626,830,6
4851,830,0
4857,830,13
19050,830,0
4867,830,30
6555,830,1
20285,830,9
18018,830,0
13208,830,5
20281,830,8
20284,830,10
13209,830,1
17625,830,6
9418,835,6
4864,835,3
13213,835,31
19412,835,10
19050,835,1
4857,835,18
18620,835,0
13209,835,1
6556,835,0
6553,835,1
18014,835,3
15189,835,6
13215,835,12
13216,835,9
20285,835,0
19051,835,30
20281,835,12
18018,835,0
4851,835,3
15188,835,9
17625,835,14
4872,835,7
7149,835,17
18021,835,31
20283,835,29
6557,835,1
4867,835,40
4856,835,19
15187,835,6
6555,835,1
18623,835,27
17626,835,3
13208,835,6
4885,835,15
4855,835,8
7151,835,3
18020,835,17
13211,835,12
20284,835,12
20285,840,6
18014,840,2
13216,840,22
4885,840,14
18021,840,31
13208,840,6
18623,840,27
6557,840,0
4867,840,25
6553,840,1
15187,840,7
18620,840,1
4851,840,5
13209,840,2
6555,840,1
19412,840,15
9418,840,12
7151,840,6
18020,840,3
20284,840,6
6556,840,0
20281,840,13
15189,840,13
13213,840,19
4872,840,4
17625,840,14
13215,840,12
20283,840,31
7149,840,13
19050,840,0
17626,840,7
4857,840,18
4855,840,15
4856,840,28
15188,840,8
19051,840,30
18018,840,0
13211,840,9
4864,840,7
19412,845,15
17625,845,13
13213,845,20
13209,845,2
20283,845,31
4851,845,4
20284,845,6
18020,845,10
9418,845,15
4855,845,16
18623,845,10
6555,845,1
17626,845,7
15187,845,6
7149,845,22
6557,845,3
18021,845,30
4857,845,7
4867,845,26
4856,845,34
15185,845,6
13208,845,7
13211,845,13
7151,845,3
4872,845,9
4885,845,15
13216,845,21
20285,845,1
18018,845,0
18014,845,3
6556,845,0
19050,845,1
4864,845,7
19051,845,30
15189,845,14
6553,845,1
18620,845,0
13215,845,17
20281,845,13
15188,845,3
7149,850,22
19051,850,22
7151,850,1
13216,850,18
6555,850,1
18014,850,0
6557,850,3
4855,850,16
13215,850,22
4867,850,26
20285,850,7
17626,850,3
18018,850,0
15189,850,1
15187,850,6
15185,850,6
4856,850,34
18620,850,6
17625,850,9
4851,850,6
4885,850,18
13209,850,1
15188,850,2
20281,850,12
13213,850,20
6553,850,7
19412,850,7
13211,850,18
18623,850,27
9418,850,1
4857,850,5
4864,850,4
20283,850,12
19050,850,1
20284,850,5
18020,850,12
18021,850,31
13208,850,10
4872,850,9
6556,850,0
13211,855,1
4867,855,1
6555,855,1
13216,855,17
4851,855,4
18623,855,18
13213,855,9
19412,855,7
9418,855,10
20284,855,3
6556,855,0
17625,855,15
17626,855,3
19050,855,1
18018,855,0
19051,855,27
20285,855,3
4855,855,10
15189,855,8
18021,855,31
4872,855,9
6557,855,1
13209,855,1
4864,855,2
15185,855,3
7151,855,1
4856,855,16
7149,855,16
6553,855,3
13215,855,13
4857,855,4
18620,855,6
20283,855,7
13208,855,10
20281,855,14
4885,855,18
18020,855,7
18014,855,3
15187,855,6
15188,855,0
15187,860,5
15185,860,9
18620,860,1
6557,860,1
6556,860,1
18020,860,4
6553,860,3
13213,860,1
6555,860,1
18014,860,1
4855,860,10
4864,860,1
19412,860,1
18623,860,16
4857,860,4
9418,860,9
20283,860,9
4851,860,2
13209,860,1
15189,860,4
4885,860,4
19051,860,18
20281,860,15
13208,860,10
13215,860,3
20285,860,7
4856,860,10
13211,860,3
13216,860,6
4867,860,0
17625,860,4
18021,860,24
4872,860,1
17626,860,0
18018,860,0
20284,860,5
7151,860,4
19050,860,0
15188,860,2
7149,860,9
13213,865,0
4851,865,0
20281,865,15
15189,865,1
13215,865,8
4864,865,1
15188,865,0
18620,865,1
4857,865,7
20285,865,1
6556,865,1
13216,865,12
6553,865,3
19050,865,0
19051,865,16
4872,865,1
19412,865,4
18014,865,0
20283,865,9
18018,865,0
6557,865,2
17626,865,0
4855,865,10
7151,865,10
15187,865,5
15185,865,9
18020,865,5
13209,865,1
18021,865,25
6555,865,1
4867,865,0
7149,865,9
13211,865,5
20284,865,7
17625,865,0
13208,865,10
18623,865,16
9418,865,1
4856,865,10
4885,865,7
20285,870,0
20284,870,9
17626,870,2
18018,870,0
20281,870,16
19050,870,0
7151,870,13
4885,870,4
18021,870,25
4864,870,1
19051,870,18
13211,870,0
15189,870,0
13208,870,8
4856,870,10
4867,870,10
13215,870,10
13216,870,4
4851,870,0
6553,870,4
17625,870,1
9418,870,2
15185,870,2
18623,870,6
9421,870,0
19412,870,1
13209,870,4
4857,870,4
7149,870,4
18020,870,3
6555,870,1
15188,870,15
13213,870,0
4855,870,5
20283,870,4
6556,870,1
18014,870,0
18620,870,0
15187,870,7
4872,870,1
6557,870,2
18018,875,0
13215,875,12
4855,875,5
17626,875,1
9421,875,0
15188,875,12
17625,875,2
7149,875,5
4857,875,4
19050,875,0
13213,875,1
19051,875,7
13211,875,0
4856,875,0
20283,875,6
15189,875,0
13209,875,7
4872,875,1
18020,875,8
18014,875,0
6557,875,1
6553,875,5
4851,875,2
6556,875,1
20284,875,5
6555,875,2
18623,875,4
7151,875,8
18620,875,0
18021,875,22
4864,875,1
4885,875,3
20281,875,17
9418,875,3
13208,875,6
19412,875,1
15187,875,7
15185,875,3
20285,875,1
4867,875,13
13216,875,4
17625,880,5
18020,880,8
6555,880,2
9418,880,0
4851,880,0
7149,880,4
20281,880,18
4855,880,5
6557,880,0
20284,880,6
18021,880,27
13211,880,3
7151,880,0
4867,880,16
13208,880,5
4885,880,3
4856,880,0
20283,880,6
15187,880,6
17626,880,0
13209,880,6
9421,880,0
20285,880,3
19050,880,0
18623,880,5
13216,880,4
6556,880,1
15189,880,0
13213,880,3
18014,880,0
19051,880,9
18620,880,0
4864,880,3
6553,880,8
4857,880,0
13215,880,7
15185,880,3
19412,880,0
4872,880,4
18018,880,0
15188,880,8
18623,885,7
4864,885,0
13208,885,6
18018,885,0
4867,885,16
20283,885,4
7151,885,2
13209,885,4
19050,885,0
20284,885,4
20281,885,21
17626,885,0
9421,885,2
19394,885,2
4857,885,1
6553,885,8
17625,885,4
6555,885,2
4851,885,3
20285,885,1
6556,885,1
19412,885,0
15188,885,9
19051,885,13
9418,885,0
13213,885,3
18020,885,3
6557,885,0
4872,885,4
15185,885,1
18021,885,27
15187,885,6
7149,885,4
4855,885,4
18620,885,4
18014,885,1
13211,885,6
13215,885,0
4856,885,0
4885,885,0
13216,885,2
15189,885,0
4856,890,0
6557,890,1
13209,890,1
6553,890,9
18018,890,0
4857,890,2
4872,890,7
17625,890,1
20281,890,21
15189,890,0
20284,890,5
18020,890,3
9418,890,1
6555,890,2
4885,890,3
19051,890,18
19050,890,0
4851,890,2
13213,890,1
15188,890,6
6556,890,0
18623,890,4
18021,890,25
18620,890,4
13216,890,4
4855,890,4
19394,890,0
19412,890,0
18014,890,1
7149,890,6
15185,890,3
7151,890,1
4864,890,1
15187,890,9
4867,890,15
13211,890,3
20285,890,1
13215,890,2
20283,890,7
9421,890,9
13208,890,4
17626,890,0
4851,895,0
13213,895,1
18014,895,1
13215,895,1
6556,895,0
18620,895,0
9418,895,5
20281,895,19
20285,895,3
19412,895,0
15185,895,3
13209,895,1
19394,895,0
4864,895,1
13216,895,3
4856,895,3
15189,895,1
7151,895,1
4855,895,5
7149,895,6
13211,895,6
18021,895,26
18623,895,8
20284,895,1
4867,895,13
20283,895,7
15188,895,6
6557,895,1
17626,895,0
13208,895,4
18018,895,0
4857,895,10
9421,895,8
4872,895,8
18020,895,4
19051,895,16
19050,895,2
6555,895,2
17625,895,3
4885,895,3
6553,895,8
15187,895,9
4867,900,15
4885,900,5
13216,900,3
15187,900,9
4851,900,6
7151,900,0
18620,900,0
20284,900,3
6557,900,1
19394,900,1
13209,900,0
6553,900,8
4872,900,8
9418,900,6
19412,900,6
6555,900,1
18020,900,2
13208,900,4
18021,900,25
20285,900,1
19051,900,14
15188,900,2
13215,900,3
13211,900,7
19050,900,0
7149,900,3
13213,900,2
18623,900,5
6556,900,0
15185,900,1
4855,900,5
15189,900,1
17626,900,1
18014,900,1
4864,900,1
4857,900,13
20283,900,7
4856,900,3
9421,900,3
17625,900,0
18018,900,0
20281,900,19
4872,905,3
6553,905,15
4857,905,9
19394,905,2
19412,905,4
18623,905,6
9421,905,1
15189,905,3
20284,905,6
18021,905,25
13211,905,1
7151,905,2
7876,905,0
13208,905,4
17626,905,3
15187,905,9
4885,905,6
4855,905,7
4867,905,15
20283,905,4
6557,905,2
17625,905,3
15188,905,4
7149,905,4
18018,905,0
4856,905,4
19051,905,13
13215,905,4
6556,905,0
15185,905,4
13213,905,4
18620,905,0
9418,905,7
18014,905,0
20281,905,19
4864,905,3
13209,905,0
13216,905,3
19050,905,1
6555,905,1
18020,905,4
4851,905,12
20285,905,1
20283,910,4
7876,910,2
13208,910,6
7151,910,8
17625,910,4
20285,910,3
18620,910,0
15187,910,8
4885,910,11
6557,910,1
15189,910,1
4856,910,4
13209,910,2
13216,910,5
4864,910,2
4867,910,18
18014,910,1
4855,910,10
19051,910,12
18623,910,3
6555,910,1
19412,910,2
4857,910,4
19050,910,0
18020,910,4
4851,910,7
18018,910,0
6553,910,8
9421,910,12
19394,910,1
17626,910,5
20281,910,22
7149,910,6
18021,910,27
15188,910,0
15185,910,5
9418,910,0
20284,910,3
13211,910,1
13213,910,1
13215,910,7
6556,910,0
4872,910,4
9421,915,21
19394,915,1
15185,915,8
4872,915,4
18623,915,0
7151,915,8
4867,915,12
15189,915,1
13216,915,5
9418,915,4
19412,915,2
18021,915,28
15187,915,8
4885,915,6
18020,915,4
18620,915,1
18014,915,3
13213,915,9
13215,915,7
7149,915,5
4856,915,4
20283,915,6
4857,915,8
20281,915,23
4864,915,2
13209,915,2
6553,915,8
7876,915,2
13208,915,6
15188,915,0
19051,915,13
6557,915,0
6555,915,1
19050,915,1
4851,915,9
17625,915,6
20285,915,2
6556,915,0
17626,915,6
18018,915,0
4855,915,10
13211,915,6
20284,915,3
4857,920,11
4856,920,7
20283,920,6
6556,920,1
7149,920,6
20285,920,4
13211,920,6
9421,920,18
6555,920,1
4864,920,2
13209,920,1
4851,920,2
6553,920,9
19394,920,7
13208,920,8
20284,920,4
20281,920,27
15185,920,8
13215,920,4
19050,920,0
13213,920,10
15189,920,0
13216,920,6
7151,920,3
9418,920,0
4855,920,10
17625,920,10
19412,920,1
18021,920,26
4867,920,10
4872,920,11
6557,920,1
15187,920,9
18623,920,3
4885,920,5
17626,920,9
18020,920,4
18620,920,0
18018,920,0
18014,920,3
19051,920,19
15188,920,5
7876,920,2
